ORF_ID	CONTIG	START	STOP	ORIENTATION	CUT_OFF	Best_Hit_evalue	Best_Hit_ARO	Best_Identites	ARO	ARO_name	Model_type	SNP	AR0_category	bit_score
gene_12	gi|606959961|gb|JHNV01000083.1| Escherichia coli O119:H4 str. 03-3458 contig83, whole genome shotgun sequence	7758	8672	-	Loose	3.89688	OCH-2	0.2765957446808511	ARO:3002516, ARO:3002514, ARO:3002518, ARO:3002521, ARO:3002484, ARO:3002517, ARO:3002520, ARO:3002519, ARO:3002515	LRA-13, OCH-4, OCH-5, OCH-6, OCH-7, OCH-1, OCH-2, OCH-3, OCH-8	model-blastP	n/a	antibiotic inactivation enzyme, beta-lactam resistance gene	25.0238, 25.0238, 25.0238, 25.0238, 24.6386, 24.6386, 25.0238, 25.0238, 25.0238
gene_23	gi|606959961|gb|JHNV01000083.1| Escherichia coli O119:H4 str. 03-3458 contig83, whole genome shotgun sequence	16210	16326	-	Loose	0.388075	APH(7'')-Ia	0.45	ARO:3002661, ARO:3003101, ARO:3003102, ARO:3003103, ARO:3003100, ARO:3003104, ARO:3003094, ARO:3003093	CEPH-A3, APH(7'')-Ia, cphA8, cphA5, cphA4, cphA7, cphA6, imiH	model-blastP	n/a	aminoglycoside resistance gene, antibiotic inactivation enzyme, beta-lactam resistance gene	23.0978, 20.7866, 20.7866, 20.7866, 20.7866, 21.1718, 20.0162, 20.7866
gene_11	gi|606959961|gb|JHNV01000083.1| Escherichia coli O119:H4 str. 03-3458 contig83, whole genome shotgun sequence	7074	7490	+	Loose	2.92844	BlaB beta-lactamase	0.39285714285714285	ARO:3000579, ARO:3002819, ARO:3002819	BlaB beta-lactamase, msrC	model-blastP	n/a	antibiotic inactivation enzyme, beta-lactam resistance gene, efflux pump conferring antibiotic resistance, macrolide resistance gene, streptogramin resistance gene	23.8682, 23.8682, 23.483
gene_24	gi|606959961|gb|JHNV01000083.1| Escherichia coli O119:H4 str. 03-3458 contig83, whole genome shotgun sequence	16325	16531	+	Loose	4.13842	cphA1	0.23684210526315788	ARO:3003098	cphA1	model-blastP	n/a	antibiotic inactivation enzyme, beta-lactam resistance gene	21.557
gene_21	gi|606959961|gb|JHNV01000083.1| Escherichia coli O119:H4 str. 03-3458 contig83, whole genome shotgun sequence	15090	15518	+	Loose	1.11077	vanSF	0.36666666666666664	ARO:3002936, ARO:3002642, ARO:3002275, ARO:3002295, ARO:3002308	APH(3')-Ib, vanSF, VIM-5, VIM-38, VIM-25	model-blastP	n/a	aminoglycoside resistance gene, antibiotic inactivation enzyme, antibiotic resistance gene cluster, cassette, or operon, beta-lactam resistance gene, gene conferring antibiotic resistance via molecular bypass, glycopeptide resistance gene	25.0238, 23.8682, 23.483, 23.483, 23.483
gene_27	gi|606959961|gb|JHNV01000083.1| Escherichia coli O119:H4 str. 03-3458 contig83, whole genome shotgun sequence	17374	17871	+	Loose	4.67585	tet32	0.5	ARO:3000379, ARO:3000196	tet32, oprM	model-blastP	n/a	aminocoumarin resistance gene, aminoglycoside resistance gene, antibiotic target protection protein, chloramphenicol resistance gene, efflux pump conferring antibiotic resistance, fluoroquinolone resistance gene, macrolide resistance gene, phenicol resistance gene, polymyxin resistance gene, tetracycline resistance gene	23.483, 23.483
gene_13	gi|606959961|gb|JHNV01000083.1| Escherichia coli O119:H4 str. 03-3458 contig83, whole genome shotgun sequence	8851	9150	-	Loose	1.8191	vanXYC	0.40540540540540543	ARO:3000801, ARO:3002840, ARO:3000801, ARO:3002966, ARO:3002841, ARO:3002829	vatB, mexD, vgaA, vatA, vanXYC	model-blastP	n/a	antibiotic inactivation enzyme, antibiotic resistance gene cluster, cassette, or operon, chloramphenicol resistance gene, efflux pump conferring antibiotic resistance, fluoroquinolone resistance gene, gene conferring antibiotic resistance via molecular bypass, glycopeptide resistance gene, macrolide resistance gene, phenicol resistance gene, streptogramin resistance gene	22.7126, 21.9422, 22.7126, 23.483, 21.9422, 22.3274
gene_14	gi|606959961|gb|JHNV01000083.1| Escherichia coli O119:H4 str. 03-3458 contig83, whole genome shotgun sequence	9240	10076	-	Loose	6.55564	dfrA14	0.5882352941176471	ARO:3002859, ARO:3002329, ARO:3002322, ARO:3002320, ARO:3002323, ARO:3002316, ARO:3002314, ARO:3002324, ARO:3002319, ARO:3002317, ARO:3002325, ARO:3002321, ARO:3002315, ARO:3002313, ARO:3002312, ARO:3002318, ARO:3002655	KPC-14, KPC-15, KPC-6, KPC-4, KPC-12, KPC-13, dfrA14, KPC-2, KPC-8, KPC-9, KPC-19, KPC-11, APH(4)-Ia, KPC-3, KPC-10, KPC-5, KPC-7	model-blastP	n/a	aminoglycoside resistance gene, antibiotic inactivation enzyme, antibiotic target replacement protein, beta-lactam resistance gene, trimethoprim resistance gene	23.8682, 23.8682, 23.8682, 23.8682, 23.8682, 23.8682, 23.8682, 23.8682, 23.8682, 23.8682, 23.8682, 23.8682, 23.8682, 23.8682, 23.8682, 23.8682, 23.8682
gene_6	gi|606959961|gb|JHNV01000083.1| Escherichia coli O119:H4 str. 03-3458 contig83, whole genome shotgun sequence	4263	4499	-	Loose	0.349597	adeN	0.45	ARO:3002999, ARO:3000559, ARO:3002879, ARO:3000800, ARO:3002839, ARO:3000863	lnuF, mprF, CblA-1, linG, adeN, mexC	model-blastP	n/a	aminocoumarin resistance gene, antibiotic inactivation enzyme, antibiotic target modifying enzyme, beta-lactam resistance gene, chloramphenicol resistance gene, efflux pump conferring antibiotic resistance, fluoroquinolone resistance gene, gene modulating antibiotic efflux, lincosamide resistance gene, macrolide resistance gene, peptide antibiotic resistance gene, phenicol resistance gene, rifampin resistance gene, tetracycline resistance gene, trimethoprim resistance gene	23.483, 25.0238, 21.9422, 21.557, 21.9422, 21.557
gene_32	gi|606959961|gb|JHNV01000083.1| Escherichia coli O119:H4 str. 03-3458 contig83, whole genome shotgun sequence	20347	20886	+	Loose	5.88684	cphA1	0.4230769230769231	ARO:3003098, ARO:3003559	cepA beta-lactamase, cphA1	model-blastP	n/a	antibiotic inactivation enzyme, beta-lactam resistance gene	23.483, 22.7126
